amfi_code,scheme_name,fund_house,rows
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,3093
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,3238
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,3309
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,3300
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,3567
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,3303
